studentId,name,email,phone,dateOfBirth,gender,department,semester,currentCGPA,attendancePercent,libraryVisits,extracurricular,disciplinaryIssues,familyIncome,parentEducation,distanceFromHome,totalFees,feesPaid,feesPending,paymentStatus
23ME001,Rahul Patel,23me001@charusat.edu.in,9400739463,2002-11-16,Female,ME,6,5.02,83,26,No,None,516089,School,75,80000,40000,40000,Pending
23ME002,Amit Shah,23me002@charusat.edu.in,9492114837,2003-01-14,Female,ME,6,9.2,71,8,No,Minor,480063,Graduate,24,80000,60000,20000,Pending
23ME003,Neha Desai,23me003@charusat.edu.in,9684990876,2003-06-11,Male,ME,6,5.18,92,17,Yes,None,373260,Postgraduate,60,80000,60000,20000,Pending
23ME004,Priya Mehta,23me004@charusat.edu.in,9753060281,2004-09-07,Female,ME,6,8.11,78,24,Yes,None,1092621,Graduate,43,80000,60000,20000,Pending
23ME005,Kunal Joshi,23me005@charusat.edu.in,9273681765,2004-08-24,Female,ME,6,5.84,90,3,Yes,None,599360,Graduate,73,80000,40000,40000,Pending
23ME006,Ravi Patel,23me006@charusat.edu.in,9517573866,2004-03-29,Female,ME,6,7.46,68,10,Yes,Minor,1179649,Postgraduate,11,80000,40000,40000,Pending
23ME007,Pooja Trivedi,23me007@charusat.edu.in,9708059191,2002-12-08,Male,ME,6,9.21,61,17,Yes,Minor,325284,School,33,80000,80000,0,Paid
23ME008,Anjali Shah,23me008@charusat.edu.in,9247140597,2003-03-05,Male,ME,6,5.88,61,28,No,Minor,902811,Postgraduate,50,80000,60000,20000,Pending
23ME009,Nikhil Rana,23me009@charusat.edu.in,9351937643,2005-01-28,Female,ME,6,8.09,75,3,No,None,201351,School,19,80000,40000,40000,Pending
23ME010,Harsh Patel,23me010@charusat.edu.in,9804787135,2002-05-04,Female,ME,6,6.96,94,1,No,Minor,518378,Postgraduate,71,80000,80000,0,Paid
23ME011,Jayesh Solanki,23me011@charusat.edu.in,9887843376,2004-10-16,Female,ME,6,6.7,73,9,Yes,Minor,722315,Postgraduate,57,80000,60000,20000,Pending
23ME012,Riya Bhatt,23me012@charusat.edu.in,9349669445,2003-07-01,Male,ME,6,5.36,79,24,Yes,Minor,872991,Graduate,17,80000,60000,20000,Pending
23ME013,Devang Mehta,23me013@charusat.edu.in,9481814020,2002-10-07,Male,ME,6,8.04,71,26,No,None,1138167,School,56,80000,80000,0,Paid
23ME014,Meet Vora,23me014@charusat.edu.in,9640102786,2005-01-26,Male,ME,6,7.19,78,5,No,None,885736,Postgraduate,77,80000,40000,40000,Pending
23ME015,Sachin Parmar,23me015@charusat.edu.in,9360840462,2004-03-07,Female,ME,6,8.83,85,28,No,None,568538,Graduate,4,80000,60000,20000,Pending
23ME016,Rahul Patel,23me016@charusat.edu.in,9385267499,2002-08-14,Male,ME,6,9.02,91,2,No,Minor,987577,Graduate,62,80000,60000,20000,Pending
23ME017,Amit Shah,23me017@charusat.edu.in,9528165081,2004-09-26,Male,ME,6,5.18,89,9,No,Minor,436509,Postgraduate,67,80000,60000,20000,Pending
23ME018,Neha Desai,23me018@charusat.edu.in,9922578328,2003-12-26,Female,ME,6,8.85,63,4,Yes,None,567166,School,14,80000,80000,0,Paid
23ME019,Priya Mehta,23me019@charusat.edu.in,9698199875,2004-09-26,Female,ME,6,8.91,70,18,Yes,None,541616,School,52,80000,60000,20000,Pending
23ME020,Kunal Joshi,23me020@charusat.edu.in,9589129078,2003-07-11,Male,ME,6,7.55,75,30,No,None,427868,Graduate,66,80000,80000,0,Paid
23ME021,Ravi Patel,23me021@charusat.edu.in,9369410588,2002-06-09,Male,ME,6,5.55,78,19,No,Minor,821799,Graduate,31,80000,60000,20000,Pending
23ME022,Pooja Trivedi,23me022@charusat.edu.in,9129298767,2002-12-23,Male,ME,6,9.07,74,24,Yes,None,764353,Graduate,25,80000,80000,0,Paid
23ME023,Anjali Shah,23me023@charusat.edu.in,9297967255,2003-08-24,Female,ME,6,6.77,90,7,Yes,Minor,552013,Graduate,29,80000,40000,40000,Pending
23ME024,Nikhil Rana,23me024@charusat.edu.in,9772001517,2004-06-28,Male,ME,6,6.61,81,3,No,Minor,952988,School,78,80000,80000,0,Paid
23ME025,Harsh Patel,23me025@charusat.edu.in,9387359790,2003-09-25,Male,ME,6,6.24,70,30,No,None,207473,School,74,80000,40000,40000,Pending
23ME026,Jayesh Solanki,23me026@charusat.edu.in,9852061880,2005-04-04,Male,ME,6,7.98,57,9,No,Minor,298132,Graduate,72,80000,80000,0,Paid
23ME027,Riya Bhatt,23me027@charusat.edu.in,9868682393,2004-03-30,Female,ME,6,5.52,85,7,Yes,None,1076319,School,77,80000,80000,0,Paid
23ME028,Devang Mehta,23me028@charusat.edu.in,9905617990,2002-03-31,Male,ME,6,5.41,55,4,No,None,368538,Graduate,4,80000,80000,0,Paid
23ME029,Meet Vora,23me029@charusat.edu.in,9433499110,2002-11-20,Female,ME,6,6.96,61,16,No,None,923531,Graduate,14,80000,80000,0,Paid
23ME030,Sachin Parmar,23me030@charusat.edu.in,9279662083,2002-06-02,Female,ME,6,7.57,72,29,No,None,1120857,Postgraduate,68,80000,40000,40000,Pending
23ME031,Rahul Patel,23me031@charusat.edu.in,9986432951,2002-03-23,Female,ME,6,8.14,71,8,No,Minor,909337,Graduate,29,80000,60000,20000,Pending
23ME032,Amit Shah,23me032@charusat.edu.in,9928368469,2003-10-20,Male,ME,6,9.0,59,5,Yes,Minor,641203,Postgraduate,78,80000,80000,0,Paid
23ME033,Neha Desai,23me033@charusat.edu.in,9240635966,2002-02-04,Male,ME,6,8.07,80,14,No,None,210342,Graduate,48,80000,80000,0,Paid
23ME034,Priya Mehta,23me034@charusat.edu.in,9153036522,2003-09-09,Female,ME,6,9.48,70,23,No,Minor,1170758,Postgraduate,79,80000,80000,0,Paid
24ME035,Kunal Joshi,24me035@charusat.edu.in,9634685587,2003-04-29,Male,ME,4,6.83,80,4,Yes,Minor,793010,Graduate,52,80000,60000,20000,Pending
24ME036,Ravi Patel,24me036@charusat.edu.in,9822772329,2002-05-24,Female,ME,4,8.79,80,17,No,Minor,232065,School,40,80000,40000,40000,Pending
24ME037,Pooja Trivedi,24me037@charusat.edu.in,9479153272,2004-03-17,Male,ME,4,7.92,94,23,Yes,Minor,682999,Postgraduate,27,80000,40000,40000,Pending
24ME038,Anjali Shah,24me038@charusat.edu.in,9417114900,2003-07-17,Female,ME,4,8.18,92,5,No,None,510930,Graduate,12,80000,80000,0,Paid
24ME039,Nikhil Rana,24me039@charusat.edu.in,9137049176,2003-06-08,Female,ME,4,6.34,78,27,Yes,Minor,1111772,School,51,80000,40000,40000,Pending
24ME040,Harsh Patel,24me040@charusat.edu.in,9734754659,2003-08-04,Female,ME,4,5.08,67,25,No,None,953385,Postgraduate,61,80000,80000,0,Paid
24ME041,Jayesh Solanki,24me041@charusat.edu.in,9652474456,2004-01-03,Female,ME,4,5.67,66,18,Yes,Minor,284378,School,44,80000,60000,20000,Pending
24ME042,Riya Bhatt,24me042@charusat.edu.in,9898023150,2002-04-02,Female,ME,4,6.92,65,25,Yes,None,1066010,School,73,80000,80000,0,Paid
24ME043,Devang Mehta,24me043@charusat.edu.in,9606019780,2002-12-17,Male,ME,4,6.65,82,19,No,None,890359,Graduate,1,80000,40000,40000,Pending
24ME044,Meet Vora,24me044@charusat.edu.in,9536383272,2002-03-24,Female,ME,4,7.41,79,30,No,None,749643,Postgraduate,32,80000,80000,0,Paid
24ME045,Sachin Parmar,24me045@charusat.edu.in,9706683261,2003-01-31,Male,ME,4,8.93,89,24,No,None,1117133,Postgraduate,26,80000,60000,20000,Pending
24ME046,Rahul Patel,24me046@charusat.edu.in,9138647102,2004-05-21,Male,ME,4,5.26,82,30,Yes,None,1047382,School,55,80000,80000,0,Paid
24ME047,Amit Shah,24me047@charusat.edu.in,9907371604,2003-01-24,Female,ME,4,6.62,82,13,No,Minor,943423,School,68,80000,40000,40000,Pending
24ME048,Neha Desai,24me048@charusat.edu.in,9750358077,2003-02-12,Female,ME,4,6.37,77,0,Yes,Minor,399635,School,70,80000,40000,40000,Pending
24ME049,Priya Mehta,24me049@charusat.edu.in,9810164197,2002-03-27,Male,ME,4,5.45,57,28,No,Minor,462139,Postgraduate,69,80000,60000,20000,Pending
24ME050,Kunal Joshi,24me050@charusat.edu.in,9156715214,2003-11-21,Female,ME,4,6.83,58,17,No,None,853523,School,71,80000,60000,20000,Pending
24ME051,Ravi Patel,24me051@charusat.edu.in,9300580207,2002-06-22,Female,ME,4,7.89,92,13,Yes,Minor,445883,Graduate,25,80000,40000,40000,Pending
24ME052,Pooja Trivedi,24me052@charusat.edu.in,9749669346,2003-01-27,Male,ME,4,6.88,74,5,No,Minor,370407,Graduate,40,80000,40000,40000,Pending
24ME053,Anjali Shah,24me053@charusat.edu.in,9363478235,2002-04-12,Female,ME,4,5.81,71,25,Yes,None,251514,Postgraduate,3,80000,80000,0,Paid
24ME054,Nikhil Rana,24me054@charusat.edu.in,9576409878,2003-06-15,Male,ME,4,9.44,88,20,No,Minor,741075,Postgraduate,32,80000,40000,40000,Pending
24ME055,Harsh Patel,24me055@charusat.edu.in,9853175178,2003-07-26,Female,ME,4,6.85,63,27,Yes,Minor,482759,Graduate,15,80000,60000,20000,Pending
24ME056,Jayesh Solanki,24me056@charusat.edu.in,9870771386,2002-12-07,Male,ME,4,8.52,83,19,Yes,None,963248,Postgraduate,54,80000,80000,0,Paid
24ME057,Riya Bhatt,24me057@charusat.edu.in,9505484333,2003-03-06,Female,ME,4,6.69,64,25,Yes,None,234556,Graduate,31,80000,80000,0,Paid
24ME058,Devang Mehta,24me058@charusat.edu.in,9474291253,2002-11-03,Female,ME,4,5.16,77,6,Yes,Minor,526372,Graduate,70,80000,40000,40000,Pending
24ME059,Meet Vora,24me059@charusat.edu.in,9953965266,2002-08-30,Male,ME,4,7.71,86,6,Yes,Minor,896854,School,9,80000,80000,0,Paid
24ME060,Sachin Parmar,24me060@charusat.edu.in,9118737920,2004-11-07,Male,ME,4,5.54,93,19,No,None,675085,Graduate,44,80000,60000,20000,Pending
24ME061,Rahul Patel,24me061@charusat.edu.in,9718058141,2004-12-18,Male,ME,4,5.68,59,1,No,None,588844,Postgraduate,73,80000,80000,0,Paid
24ME062,Amit Shah,24me062@charusat.edu.in,9477216690,2004-08-27,Female,ME,4,8.99,83,30,Yes,None,457688,Postgraduate,3,80000,40000,40000,Pending
24ME063,Neha Desai,24me063@charusat.edu.in,9801453494,2003-07-22,Male,ME,4,5.32,82,17,Yes,None,813707,Postgraduate,4,80000,80000,0,Paid
24ME064,Priya Mehta,24me064@charusat.edu.in,9362315214,2002-03-05,Male,ME,4,5.64,74,28,Yes,Minor,967154,Graduate,41,80000,60000,20000,Pending
24ME065,Kunal Joshi,24me065@charusat.edu.in,9264649288,2002-06-03,Male,ME,4,9.39,65,14,No,None,1190654,Graduate,76,80000,40000,40000,Pending
24ME066,Ravi Patel,24me066@charusat.edu.in,9285575203,2003-11-04,Male,ME,4,5.94,71,2,No,Minor,285661,Graduate,12,80000,80000,0,Paid
24ME067,Pooja Trivedi,24me067@charusat.edu.in,9372474644,2005-02-26,Male,ME,4,6.79,83,5,Yes,None,636406,Postgraduate,66,80000,40000,40000,Pending
25ME068,Anjali Shah,25me068@charusat.edu.in,9763931633,2004-03-23,Female,ME,2,5.38,88,18,Yes,None,650569,Graduate,12,80000,40000,40000,Pending
25ME069,Nikhil Rana,25me069@charusat.edu.in,9214565331,2003-11-19,Male,ME,2,5.12,71,20,No,None,1041271,Postgraduate,19,80000,80000,0,Paid
25ME070,Harsh Patel,25me070@charusat.edu.in,9743782467,2002-05-06,Male,ME,2,7.76,60,13,No,None,641554,School,51,80000,80000,0,Paid
